frame,state,image_x,image_y
0,pos,976.0,749.4
24,pos,974.1,745.2
25,pos,974.1,746.3
26,pos,975.5,745.7
30,pos,973.9,745.7
31,pos,973.3,744.9
32,pos,981.5,744.1
34,pos,998.1,741.1
36,pos,1057.4,744.4
40,pos,1041.8,743.3
43,pos,1064.2,744.1
48,pos,1091.5,741.9
52,pos,1110.8,743.0
59,pos,1138.1,740.8
60,pos,1139.2,741.7
64,pos,1142.8,751.2
72,pos,1156.1,761.3
81,pos,1173.3,769.2
84,pos,1180.7,771.4
86,pos,1185.9,776.3
87,pos,1189.2,776.6
94,pos,1204.7,783.9
103,pos,1126.4,803.9
108,pos,1087.1,815.6
120,pos,1007.1,840.2
122,pos,1006.1,842.6
125,pos,1006.6,839.1
132,pos,1021.3,835.2
141,pos,1056.5,824.6
144,pos,1066.6,822.1
148,pos,1077.5,821.6
152,pos,1089.0,816.4
156,pos,1099.4,813.1
164,pos,1121.5,808.2
168,pos,1121.8,789.4
177,pos,1122.3,785.3
180,pos,1124.2,775.8
192,pos,1125.0,769.5
194,pos,1124.5,763.8
204,pos,1150.1,751.7
209,pos,1147.4,753.7
215,pos,1157.5,751.7
216,pos,1159.4,751.5
228,pos,1173.9,743.6
236,pos,1184.0,741.1
240,pos,1227.1,741.4
247,pos,1287.7,741.4
258,pos,1364.1,744.9
264,pos,1340.6,744.9
276,pos,1313.0,743.6
284,pos,1297.2,743.0
285,pos,1296.1,743.3
288,pos,1304.8,744.7
289,pos,1299.4,743.6
295,pos,1305.7,744.4
297,pos,1307.0,745.7
299,pos,1307.6,744.7
300,pos,1278.1,747.9
301,pos,1299.1,745.5
309,pos,1264.2,750.1
312,pos,1253.5,749.0
320,pos,1222.4,753.1
324,pos,1208.3,754.7
333,pos,1178.5,756.4
336,pos,1172.0,759.7
348,pos,1148.8,762.4
360,pos,1123.9,766.8
366,pos,1087.1,769.2
372,pos,1057.4,769.2
383,pos,1008.5,771.1
384,pos,988.0,776.9
396,pos,980.4,792.4
402,pos,970.0,787.8
408,pos,964.0,782.0
418,pos,933.5,791.6
420,pos,909.7,795.7
428,pos,906.5,802.2
432,pos,898.0,801.4
444,pos,874.3,813.7
456,pos,853.3,820.0
460,pos,846.4,824.6
467,pos,862.5,841.8
468,pos,874.3,852.7
470,pos,866.9,841.5
480,pos,883.0,864.7
488,pos,889.5,876.4
497,pos,948.2,838.5
502,pos,979.9,831.7
514,pos,1021.6,808.5
524,pos,1046.2,798.1
531,pos,1063.9,792.1
540,pos,1077.5,789.1
549,pos,1082.7,795.4
564,pos,1088.7,807.1
576,pos,1093.6,818.1
585,pos,1091.7,824.6
588,pos,1087.9,826.8
594,pos,1094.2,824.6
605,pos,1061.4,841.8
612,pos,1037.2,850.5
622,pos,1003.9,862.5
624,pos,1003.6,865.3
636,pos,998.1,865.8
644,pos,993.8,862.8
655,pos,886.0,847.0
660,pos,845.9,838.0
667,pos,805.8,829.2
680,pos,748.7,819.4
686,pos,727.7,815.9
690,pos,723.4,813.4
696,pos,728.0,812.0
698,pos,729.1,809.9
708,pos,680.5,803.6
720,pos,651.3,797.6
729,pos,637.4,790.5
731,pos,645.3,791.0
732,pos,667.2,792.9
736,pos,669.9,793.2
744,pos,639.6,790.8
755,pos,604.7,785.9
768,pos,565.7,779.3
780,pos,534.5,774.4
788,pos,514.6,770.6
794,pos,532.1,765.1
801,pos,541.4,761.8
816,pos,541.4,747.9
835,pos,545.7,740.6
840,pos,547.4,736.7
846,pos,547.4,735.4
851,pos,546.0,732.4
864,pos,527.7,728.3
888,pos,505.1,707.8
900,pos,498.8,704.8
912,pos,490.9,703.2
924,pos,484.1,695.5
936,pos,477.0,695.0
948,pos,472.1,693.6
959,pos,466.3,690.4
960,pos,463.6,689.3
972,pos,460.1,688.2
984,pos,457.3,685.4
996,pos,465.0,685.2
1008,pos,472.6,684.6
1068,pos,493.9,692.8
1140,pos,447.2,722.8
1164,pos,424.6,726.1
1176,pos,405.2,731.0
1188,pos,390.7,738.9
1200,pos,389.9,740.8
1212,pos,412.3,741.7
1224,pos,411.8,743.8
1236,pos,403.0,751.7
1243,pos,406.6,750.9
1248,pos,404.4,751.5
1259,pos,492.5,737.0
1260,pos,406.6,754.7
1272,pos,404.9,758.0
1284,pos,405.8,759.1
1296,pos,405.8,761.6
1308,pos,402.8,762.4
1320,pos,401.4,763.2
1326,pos,401.4,761.0
1356,pos,396.2,764.3
1380,pos,394.3,764.6
1393,pos,396.2,764.8
1407,pos,581.8,763.2
1414,pos,649.7,762.7
1421,pos,705.1,762.1
1424,pos,728.8,757.2
1428,pos,731.8,757.5
1440,pos,725.0,746.6
1448,pos,726.6,749.3
1460,pos,750.1,740.3
1476,pos,783.7,730.7
1484,pos,808.2,730.2
1487,pos,817.0,728.6
1488,pos,808.0,729.4
1506,pos,812.0,735.4
1523,pos,821.6,734.3
1527,pos,823.0,731.0
1536,pos,802.8,738.9
1548,pos,802.8,746.0
1560,pos,804.7,752.0
1564,pos,806.0,752.6
1572,pos,795.1,746.8
1584,pos,785.6,747.7
1592,pos,777.4,747.1
1595,pos,776.3,745.2
1605,pos,829.2,745.7
1644,pos,1012.3,749.6
1655,pos,1036.6,751.2
1668,pos,930.7,773.3
1692,pos,799.2,831.4
1715,pos,744.4,860.9
1716,pos,729.9,867.2
1722,pos,730.7,865.3
1741,pos,756.1,914.4
1752,pos,741.1,938.9
1764,pos,734.3,954.8
1775,pos,726.9,995.7
1780,pos,721.2,1000.1
1787,pos,714.4,1027.3
1797,pos,698.3,1062.8
1802,pos,692.0,1076.5
1807,pos,687.1,1078.6
1890,pos,775.8,997.9
1895,pos,782.9,991.1
1919,pos,797.0,961.9
1971,pos,787.6,902.2
2021,pos,786.3,902.2
2037,pos,786.3,902.2
2063,pos,710.5,817.8
2070,pos,703.7,803.9
2097,pos,649.1,800.6
2103,pos,626.5,802.2
2110,pos,606.6,801.7
2121,pos,571.9,802.5
2131,pos,541.4,805.0
2146,pos,527.5,806.9
2159,pos,531.5,840.2
2162,pos,537.3,841.2
2167,pos,546.3,840.4
2175,pos,557.5,839.6
2179,pos,565.7,838.2
2195,pos,635.8,848.3
2205,pos,670.7,854.3
2215,pos,686.8,857.6
2225,pos,686.8,857.6
2230,pos,687.4,858.7
2236,pos,701.5,852.7
2240,pos,707.0,851.6
2250,pos,723.9,846.7
2261,pos,719.3,831.7
2266,pos,735.1,834.2
2277,pos,755.6,830.9
2288,pos,793.8,821.6
2299,pos,811.8,814.5
2301,pos,820.8,812.3
2306,pos,859.0,805.8
2312,pos,893.6,801.1
2317,pos,920.4,797.3
2330,pos,983.1,786.1
2340,pos,1018.3,780.7
2343,pos,1016.2,779.6
2346,pos,1014.8,778.5
2356,pos,1012.6,775.5
2361,pos,1007.1,773.8
2371,pos,987.2,772.8
2381,pos,974.7,771.4
2392,pos,962.4,769.8
2403,pos,948.5,768.7
2408,pos,942.8,768.7
2409,pos,942.5,768.7
2412,pos,923.7,764.6
2420,pos,886.5,761.6
2423,pos,891.2,761.3
2427,pos,895.3,761.0
2437,pos,905.1,757.2
2443,pos,926.7,752.6
2452,pos,947.4,746.8
2458,pos,958.3,744.4
2463,pos,975.8,743.0
2471,pos,1000.1,744.7
2477,pos,1017.5,743.6
2484,pos,1041.8,747.1
2491,pos,1078.4,754.7
2496,pos,1079.2,750.9
2502,pos,1080.6,750.4
2506,pos,1079.5,750.9
2520,pos,1071.8,749.6
2523,pos,1074.8,751.5
2533,pos,1077.5,759.4
2548,pos,1085.2,768.4
2558,pos,1090.6,774.9
2568,pos,1094.7,778.8
2572,pos,1097.2,783.1
2588,pos,1102.4,800.6
2601,pos,1053.0,838.8
2604,pos,1045.6,847.8
2615,pos,1012.1,875.4
2618,pos,1006.3,882.4
2624,pos,1018.3,879.4
2630,pos,1029.8,880.5
2637,pos,1038.0,884.1
2643,pos,1022.4,885.2
2648,pos,1015.6,887.9
2661,pos,994.9,888.7
2665,pos,988.0,889.0
2672,pos,1003.9,884.6
2676,pos,1007.4,880.8
2685,pos,1005.0,875.1
2691,pos,1015.9,868.8
2703,pos,1031.7,857.9
2711,pos,1039.1,850.3
2716,pos,1043.4,846.4
2744,pos,800.0,748.7
2765,pos,729.6,728.0
2780,pos,686.3,716.3
2791,pos,660.1,706.2
2794,pos,652.2,708.4
2799,pos,640.4,702.6
2813,pos,612.0,697.7
2823,pos,592.9,695.0
2857,pos,533.5,687.4
2863,pos,523.1,689.5
2875,pos,501.8,690.6
2879,pos,496.1,691.4
