player_id,team,samples,distance_m,max_speed_mps
1,B,14,8.96,1.23
2,B,14,14.23,2.55
3,B,14,15.84,3.28
4,B,10,8.91,2.88
5,B,13,8.93,2.2
6,B,14,16.12,6.56
7,B,12,7.03,1.25
8,B,11,9.04,2.3
9,B,13,4.83,2.29
10,B,14,3.0,0.98
11,B,14,7.79,4.12
12,B,13,9.71,4.13
13,B,14,5.37,1.75
14,B,14,0.45,0.3
15,B,14,4.07,1.64
16,B,14,8.52,5.06
17,B,5,8.19,10.25
18,B,2,7.27,14.54
19,B,11,12.48,3.61
20,B,1,0.0,0.0
21,B,11,2.71,1.79
22,B,11,4.09,1.07
23,B,6,5.26,1.69
24,B,2,4.13,8.26
25,B,5,2.06,1.65
26,B,5,0.87,0.84
